nyg,sf,thu,8:15p
ind,bal,sun,1:00p
ten,cle,sun,1:00p
atl,det,sun,1:00p
no,gb,sun,1:00p
hou,jax,sun,1:00p
den,mia,sun,1:00p
lac,min,sun,1:00p
ne,nyj,sun,1:00p
buf,was,sun,1:00p
car,sea,sun,4:05p
dal,ari,sun,4:25p
chi,kc,sun,4:25p
pit,lv,sun,8:20p
phi,tb,mon,7:15p
lar,cin,mon,8:15p
